"rank_total","sum_total","sum_mean","sum_median","test_para"
50,6666344,277764.333333333,273591.5,329325.067982456
51,10965243,304590.083333333,252834,328401.938753133
52,6877055,327478.80952381,285050,327478.80952381
53,7137336,285493.44,252100,285493.44
54,11846084,320164.432432432,258817,320164.432432432
55,6075710,233681.153846154,218076.5,233681.153846154
56,4591049,255058.277777778,232987,255058.277777778
57,9592484,290681.333333333,263133,264376.876633987
58,9741845,295207.424242424,217029,260543.247140523
59,8728127,256709.617647059,225962,256709.617647059
60,8245981,257686.90625,272202,257686.90625
61,9385571,302760.35483871,249956,255207.563015488
62,5220009,208800.36,186266,252728.219780975
63,5296243,240738.318181818,198018.5,240738.318181818
64,6463847,281036.826086957,246130,241626.674242424
65,8002996,242515.03030303,208858,242515.03030303
66,2915750,182234.375,169882,227986.257086999
67,6617182,213457.483870968,189982,213457.483870968
68,8543188.57,244091.102,178790,244091.102
69,5192528,216355.333333333,229697.5,216355.333333333
70,3251485,180638.055555556,155480,217713.4375
71,5257717,219071.541666667,212807,219071.541666667
72,3330109,151368.590909091,132923.5,213770.557414337
73,6053954.98,172970.142285714,137298,208469.573162008
74,5081121,220918.304347826,186874,220918.304347826
75,6211666,214195.379310345,188579,214195.379310345
76,3558648,187297.263157895,159279,210695.369655172
77,5179884,207195.36,213201,207195.36
78,5268466.4,188159.514285714,150023.5,216532.339090909
79,4969125,225869.318181818,195210.5,225869.318181818
80,5590412,180335.870967742,167260,226995.325757576
81,4106184,228121.333333333,200840,221358.279545455
82,6471637,215721.233333333,171910.5,215721.233333333
83,4377176,156327.714285714,132924.5,219582.442391215
84,7117353,245425.965517241,222332,217948.072932061
85,5748210,159672.5,146303.5,216313.703472906
86,5241640.36,187201.441428571,149809,191691.685069787
87,5012090,167069.666666667,142371,167069.666666667
88,5204697,192766.555555556,189191,192766.555555556
89,4350679,189159.956521739,118425,189159.956521739
90,4182694,174278.916666667,149459.5,174278.916666667
91,6452454,161311.35,138253,169883.864346591
92,2907199,132145.409090909,119352.5,165488.812026515
93,4932843,164428.1,126333.5,164428.1
94,4128933,152923.444444444,127811,164086.953914141
95,3338837,145166.826086957,143866,163745.807828283
96,3644022,165637.363636364,152909,161868.875477994
97,3490685,166223.095238095,124078,159991.943127706
98,2309239,121538.894736842,81861,154346.522619048
99,2849399,142469.95,122094,142469.95
100,2299647,153309.8,88670,153309.8
101,4593557,153118.566666667,153540.5,153118.566666667
102,2180929,145395.266666667,76960,145395.266666667
103,2050468,102523.4,97030.5,144911.771568627
104,2455280.7,144428.276470588,116644,144428.276470588
105,2526619,132979.947368421,89876,144594.63120783
106,2284654,114232.7,103086,144760.985945072
107,2541633,101665.32,75994,149445.345631065
108,4150051.77,159617.375769231,144202,159617.375769231
109,3283828,142775.130434783,149163,142775.130434783
110,2239282,131722.470588235,118474,145134.156126482
111,3244850,147493.181818182,114267,143841.323737085
112,2516177,132430.368421053,105798,142548.491347687
113,2173287,98785.7727272727,74999,137603.800877193
114,4283317,142777.233333333,130787,142777.233333333
115,3224941,169733.736842105,129752,144512.883055556
116,2810696,156149.777777778,141527.5,143773.221527778
117,3575839,143033.56,136760,143033.56
118,3548657.59,126737.771071429,125084,126737.771071429
119,4200150.52,155561.13037037,130872,125202.552202381
120,2968016,123667.333333333,107439,123667.333333333
121,2574915,107288.125,122293,124620.507218196
122,2416359.18,105059.094782609,84408,125573.68110306
123,3693172,136784.148148148,116391,136784.148148148
124,3435469,118464.448275862,135090,127863.552409166
125,3677919,114934.96875,97879.5,118942.956670184
126,2849701,109603.884615385,101206.5,119421.465064506
127,3138808,116252.148148148,105217,121813.926766543
128,2285771,126987.277777778,122066,126987.277777778
129,2850419,123931.260869565,100088,123931.260869565
130,3878189,138506.75,114309.5,128574.137608696
131,1568395,92258.5294117647,70322,128250.708152174
132,2942327.41,127927.278695652,111581,127927.278695652
133,2461436,117211.238095238,93670,117211.238095238
134,1356026,96859,74172,120545.261904762
135,2601465,123879.285714286,113616,123879.285714286
136,3026231.4,144106.257142857,133876,117698.403726708
137,2564903,111517.52173913,113210,111517.52173913
138,2072971,94225.9545454545,77946,117481.493012422
139,3456473,123445.464285714,105043,115711.168759154
140,2286931.63,103951.437727273,95475,113940.844505885
141,2434013,90148.6296296296,78964,109430.928115361
142,2898255,103509.107142857,100311.5,107771.339564986
143,2274574,103389.727272727,99683.5,108242.867225675
144,1976372,79054.88,71808,108714.394886364
145,3649250,114039.0625,105233,110225.330503465
146,2383046.63,125423.506842105,93573,109829.400122299
147,2433905.89,97356.2356,95702,109433.469741133
148,2401044.18,104393.225217391,75650,104393.225217391
149,1580463,79023.15,74692.5,101600.45708238
150,1877346.09,98807.6889473684,80808,106034.518014874
151,2098903,110468.578947368,104092,103526.308730908
152,1627586,90421.4444444444,79543.5,101018.099446942
153,1526878,80362,83449,99498.4025636725
154,1727267,82250.8095238095,80037,99294.933238358
155,2279103.67,99091.4639130435,95458,99091.4639130435
156,2898302,111473.153846154,99562.5,102490.794227584
157,1823991,75999.625,76369,101398.94473284
158,2106449,100307.095238095,104411,100307.095238095
159,1917623,83374.9130434783,77346,98881.8937728938
160,1266937,97456.6923076923,84918,97456.6923076923
161,2423079,93195.3461538462,82917.5,96610.2568681319
162,2681387,95763.8214285714,79921,97441.7496570097
163,1553213,77660.65,77364.5,98273.2424458874
164,2361997.89,87481.4033333333,79430,100782.663463203
165,2418739.72,109942.714545455,84535,101989.105606061
166,1374599,80858.7647058823,74382,103195.547748918
167,2025416,96448.3809523809,81868,96448.3809523809
168,1853292.16,92664.608,71477.5,99639.2077175698
169,2982071,102830.034482759,107048,102830.034482759
170,1449639,65892.6818181818,69005.5,99167.799850075
171,2196628,95505.5652173913,77890,97377.290480593
172,1720562.06,95586.7811111111,89253,95586.7811111111
173,2195713,87828.52,83865,92171.2496805556
174,1023555,85296.25,66612.5,90927.0830902778
175,1793658.33,89682.9165,75268,90598.3827546559
176,1225557,72091.5882352941,61956,90269.6824190341
177,1377374,81022,66684,90856.4483380682
178,1768892.02,70755.6808,70948,92426.6590909091
179,2284289,103831.318181818,72968.5,91197.1180985502
180,1478185,77799.2105263158,69516,89967.5771061912
181,1435521,95701.4,90792,83290.0842427508
182,2221765.15,76612.5913793103,75422,76612.5913793103
183,1586409,113314.928571429,79681,83226.7123563218
184,1617135,89840.8333333333,75909,82730.1202673256
185,1036025.08,74001.7914285714,69807.5,82233.5281783293
186,1076987,67311.6875,68329,78742.0913982043
187,643783,58525.7272727273,55472,78144.8351727864
188,1473404,77547.5789473684,66098,77547.5789473684
189,1048908,61700.4705882353,62496,80698.3410406347
190,1049758.63,104975.863,93501.5,78567.4131673762
191,1299420.25,76436.4852941177,78910,76436.4852941177
192,1826905,79430.652173913,75173,76522.3734766528
193,1160953.17,72559.573125,70572.5,76608.2616591879
194,571490,57149,62146,73785.8711444627
195,1666740.59,69447.5245833333,63373,75012.1691639254
196,1501395,79020.7894736842,79776,75779.3800700444
197,1023952.57,78765.5823076923,63718,75298.4083521783
198,866652.41,61903.7435714286,49983,74817.4366343123
199,480879.01,53431.0011111111,56144,73643.0301253434
200,910270,70020.7692307692,64337,74922.1408962912
201,1258431,78651.9375,69669,73798.7069815991
202,493472,49347.2,39269,72675.273066907
203,704191,54168.5384615385,47776,71539.6362547576
204,953342.94,59583.93375,43672,71258.2544815455
205,584540,58454,62086,70976.8727083333
206,988437.74,82369.8116666667,77574,70342.2259982639
207,1200158,66675.4444444444,67276,70465.6129991319
208,705890,70589,70217.5,70589
209,1279771,67356.3684210526,64828,71313.7885338346
210,1225021,61251.05,56115.5,72038.5770676692
211,1074091,76720.7857142857,62080,70677.759962406
212,1073229,59623.8333333333,64434,69316.9428571429
213,619131,61913.1,50451.5,69871.5017857143
214,636287,63628.7,47626,70426.0607142857
215,743793,74379.3,54672,69943.4322802198
216,774627,59586.6923076923,67007,69460.8038461539
217,839050,64542.3076923077,65192,64542.3076923077
218,628465,89780.7142857143,85270,62882.4845199378
219,952638,56037.5294117647,55636,62518.9443315187
220,394499.5,49312.4375,36378,64007.0318832681
221,1055617,58645.3888888889,52325.5,65495.1194350176
222,722597,72259.7,66527.5,64962.7472175088
223,515443,64430.375,58677.5,64430.375
224,1171282.46,78085.4973333333,65758,63634.3541666667
225,754060,62838.3333333333,56575,62838.3333333333
226,887470,55466.875,56674,61651.4523809524
227,423252,60464.5714285714,54440,60464.5714285714
228,592304,59230.4,59079.5,61771.7301587302
229,567710,63078.8888888889,53824,63078.8888888889
230,775502.72,59654.0553846154,51333,59654.0553846154
231,781277,65106.4166666667,61404,62363.028537231
232,663732,73748,83883,62255.3905368277
233,656475,82059.375,80607,62147.7525364243
234,948367,72951.3076923077,70226,60595.1974477199
235,400779.81,57254.2585714286,54022,57254.2585714286
236,805836,50364.75,58320,55152.1551866883
237,370909,46363.625,27810.5,54721.6585024351
238,597202.78,54291.1618181818,50954,54291.1618181818
239,593368,45643.6923076923,46363,57070.9809090909
240,598508,59850.8,59035,57138.8401515151
241,588797,53527,49732,57206.6993939394
242,340393,56732.1666666667,55109.5,56732.1666666667
243,587826,45217.3846153846,40666,52914.5044871795
244,519526,43293.8333333333,47808.5,52945.4022435897
245,529763,52976.3,40067,52976.3
246,371117,46389.625,26129,54675.3722222222
247,507370,56374.4444444444,58118,56374.4444444444
248,739161,61596.75,48011.5,56222.6188568376
249,250905,50181,50256,56070.7932692308
250,534359,41104.5384615385,35874,53489.7331730769
251,725260,40292.2222222222,34573,52605.8903960623
252,1086163,51722.0476190476,41070,54260.4684664294
253,796188,66349,47072,54575.7685946866
254,403775,40377.5,44503.5,54891.0687229437
255,592538,53867.0909090909,63155,53867.0909090909
256,390081,35461.9090909091,26288,53708.3636363636
257,589046,53549.6363636364,33871,53549.6363636364
258,496003,45091.1818181818,25658,45091.1818181818
259,595486.48,45806.6523076923,40243,45806.6523076923
260,462816,42074.1818181818,37824,44304.8523776224
261,331697.44,30154.3127272727,36250,44117.8490550563
262,565915,43531.9230769231,45112,43930.8457324902
263,289304,36163,36763,43943.3037377076
264,283698,35462.25,34234.5,44035.5462740385
265,535803,44650.25,39521.5,44650.25
266,497154,45195.8181818182,40198,45195.8181818182
267,433707,54213.375,49001,46268.9564123377
268,260467,26046.7,22944,46034.5771224381
269,98861,16476.8333333333,11569,45800.1978325386
270,768529,54894.9285714286,51163.5,44878.8499365869
271,349291,31753.7272727273,19748,42893.8392857143
272,247142,30892.75,25886,41106.6974206349
273,353876,39319.5555555556,30672,39319.5555555556
274,439671,39970.0909090909,35261,39970.0909090909
275,262732,32841.5,33084,42063.3787878788
276,397410,44156.6666666667,35924,42366.0539772727
277,1402981,140298.1,38749,42668.7291666667
278,321669,53611.5,36484,41180.7916666667
279,66955,33477.5,33477.5,39970.9709821429
280,204536,34089.3333333333,26103.5,39929.1045386905
281,364714,33155.8181818182,34248,39887.2380952381
282,319796,45685.1428571429,44634,41250.6026785714
283,233758,33394,14802,42613.9672619048
284,429329,53666.125,43196.5,39542.7916666667
285,548299,45691.5833333333,43948,39000.2916666667
286,211989,35331.5,24491.5,38457.7916666667
287,218568,31224,19634,37152.1101190476
288,250925,35846.4285714286,35224,35846.4285714286
289,338297,33829.7,30077.5,40593.2142857143
290,272040,45340,42973,37609.7350595238
291,129075,18439.2857142857,19332,34626.2558333333
292,143475.07,23912.5116666667,23035,36017.9998295454
293,346240,57706.6666666667,32937,37409.7438257576
294,453448.44,41222.5854545455,26353,37490.157165404
295,244880,27208.8888888889,25356,37570.5705050505
296,305267,33918.5555555556,22958,35525.9995382395
297,234370,33481.4285714286,17602,33481.4285714286
298,294898,36862.25,24210.5,34399.130952381
299,211901,35316.8333333333,30980,35316.8333333333
300,258524,25852.4,25628.5,30615.7152777778
