301,1382571,345642.75,238245.5,265608.910714286
302,268569,67142.25,62008,245099.336347307
303,143228,71614,71614,241448.392411368
304,152468,76234,76234,242571.276507105
305,953965,238491.25,58251,243694.160602842
306,989674,247418.5,73670.5,247418.5
307,685890,685890,685890,352095.75
308,1827092,456773,461219,365335.875
309,1236727,154590.875,63403.5,332857.4375
310,901137,300379,71726,300379
311,684574,684574,684574,283580
312,800343,266781,26348,298234.99375
313,1349983,269996.6,234819,312889.9875
314,56506,56506,56506,348991.675
315,1711947,427986.75,364484.5,329053.9625
316,1236465,309116.25,189560,309116.25
317,1189330,396443.333333333,478113,350525.020833333
318,2393993,478798.6,666852,368974.635416667
319,1612798,403199.5,413433,372000.859375
320,882710,441355,441355,359427.763020833
321,2081128,346854.666666667,201948,346854.666666667
322,1451742,725871,725871,312771.666666667
323,836066,278688.666666667,78787,318307.107142857
324,243139,121569.5,121569.5,323842.547619048
325,2582975,368996.428571429,200236,368996.428571429
326,1289985,429995,618807,314294.080357143
327,186273,93136.5,93136.5,301205.540178571
328,864351,288117,100258,288117
329,1438500,287700,62606,287700
330,2590888,518177.6,699024,362946.4
331,518356,86392.6666666667,65491,360577.2
332,716416,358208,358208,358208
333,163908,54636,58669,311313.558333333
334,430859,86171.8,61077,308980.945833333
335,919945,306648.333333333,92531,306648.333333333
336,837151,418575.5,418575.5,333091.708333333
337,747936,186984,85063,359535.083333333
338,1416762,472254,656580,369818.421223958
339,1386021,462007,581123,372730.287434896
340,1362328,681164,681164,375642.153645833
341,709603,354801.5,354801.5,354801.5
342,1243415,248683,107426,248683
343,871807,435903.5,435903.5,306276.708333333
344,1400370,466790,604263,363870.416666667
345,875512,291837.333333333,157867,291837.333333333
346,0,0,NA,225769.738095238
347,1117915,159702.142857143,87073,219611.137276786
348,0,0,NA,213452.536458333
349,231869,115934.5,115934.5,225326.47172619
350,188950,94475,94475,252327.25
351,777440,388720,388720,256489.958333333
352,781958,260652.666666667,161119,260652.666666667
353,1999107,666369,626100,218989.427083333
354,229283,76427.6666666667,64414,202550.817708333
355,243338,81112.6666666667,111681,224974.408854167
356,742194,247398,110895,247398
357,1309677,327419.25,352087.5,273543.328125
358,2645151,440858.5,603435.5,272750.6953125
359,0,0,NA,271958.0625
360,431987,215993.5,215993.5,215993.5
361,0,0,NA,186699.5875
362,0,0,NA,157405.675
363,1034073,206814.6,128415,206814.6
364,286925,143462.5,143462.5,143462.5
365,110772,110772,110772,128148.986002604
366,1218988,609494,609494,121523.96500651
367,331747,82936.75,75507,120841.300211589
368,1387363,462454.333333333,648485,120158.635416667
369,1722,1722,1722,157380.520833333
370,817295,272431.666666667,167071,179291.239257812
371,852631,284210.333333333,134407,178974.500058492
372,1392272,464090.666666667,643865,178657.760859172
373,854653,427326.5,427326.5,177884.208333333
374,0,0,NA,159175.770833333
375,421402,140467.333333333,141380,140467.333333333
376,820622,273540.666666667,122027,146921.958333333
377,1473437,368359.25,349456.5,153376.583333333
378,66425,33212.5,33212.5,107144.416666667
379,9024,9024,9024,104929.260416667
380,88612,88612,88612,102714.104166667
