"rank_total","sum_total","sum_mean","sum_median","test_para"
133,1878819,208757.666666667,94591,133537.642486311
134,214137,30591,25575,129733.333333333
135,608508,50709,40336,133295.56547619
136,1635605,233657.857142857,29646,112657.782738095
137,276060,92020,72788,92020
138,719452,79939.1111111111,87181,79939.1111111111
139,2226349,278293.625,61183,78592.1984126984
140,540717,77245.2857142857,31674,77245.2857142857
141,475876,59484.5,72953.5,56958.2857142857
142,256699,36671.2857142857,27433,47211.6928571429
143,374651,37465.1,29638,46542.75
144,150341,37585.25,32763,45873.8071428571
145,345444,49349.1428571429,71189,49349.1428571429
146,389334,64889,63971.5,64889
147,105327,26331.75,25589,63555.1875
148,116009,23201.8,23724,62221.375
149,392444,98111,99877.5,62843.0625
150,112,112,112,63464.75
151,1878008,187800.8,71549,60494.875
152,345150,57525,54795,57525
153,314224,104741.333333333,144240,70252.1
154,414896,82979.2,76545,65325.175
155,241593,60398.25,56904,60398.25
156,2442155,407025.833333333,102693.5,65620.7916666667
157,212530,70843.3333333333,90007,70843.3333333333
158,335625,47946.4285714286,50429,60499.8883928571
159,346723,86680.75,100752,50156.443452381
160,143,143,143,52366.4583333333
161,928958,232239.5,59741.5,52348.7863769531
162,107884,35961.3333333333,24231,52331.1144205729
163,141840,35460,31799.5,52989.2591145833
164,348016,58002.6666666667,52988,58002.6666666667
165,471001,94200.2,82515,70851.1333333333
166,2341748,390291.333333333,94373.5,72025.0666666667
167,73199,73199,73199,73199
168,203117,33852.8333333333,28867.5,73148.5714285714
169,511687,73098.1428571429,62710,73098.1428571429
170,209605,52401.25,58076.5,74955.8339285714
171,42177,42177,42177,76813.525
172,506129,101225.8,62374,72277.559500558
173,206773,51693.25,57470.5,67741.5940011161
174,642099,91728.4285714286,34585,71229.8005022321
175,402651,201325.5,201325.5,80517.0369698661
176,2275120,284390,66890,74877.1570347377
177,350166,87541.5,50443.5,69237.2770996094
178,381117,54445.2857142857,64220,72950.1474783761
179,90102,30034,12442,76663.0178571429
180,395523,98880.75,37516,77659.0089285714
181,550585,78655,23142,78655
182,278504,69626,58929.5,69626
183,1117464,558732,558732,73030.46875
184,1386676,346669,60181.5,76434.9375
185,158448,52816,148,66676.8020833333
186,0,0,NA,68309.21796875
187,183064,61021.3333333333,60188,69941.6338541667
188,380171,76034.2,44640,76034.2
189,287367,143683.5,143683.5,80898.275
190,3408622,486946,72621,76254.9375
191,415602,103900.5,58898.5,71611.6
192,206582,41316.4,37401,59805.275
193,953705,119213.125,55914,47998.95
194,109363,54681.5,54681.5,54681.5
195,502804,100560.8,49792,100560.8
196,2101708,300244,96056,99071.125
197,1484277,247379.5,53085.5,97581.45
198,84771,21192.75,14962.5,98354.8070391414
199,504003,100800.6,105168,98710.0550978535
200,148352,37088,29825.5,99065.3031565657
201,777384,194346,197606.5,85332.0622474747
202,4513183,501464.777777778,47632,71598.8213383838
203,504544,45867.6363636364,51369,45867.6363636364
204,1413452,282690.4,64423,48715.4431818182
205,206253,51563.25,50618.5,51563.25
206,142,142,142,54628.875
207,115389,57694.5,57694.5,57694.5
208,130112,32528,26009,32528
209,220913,44182.6,24295,44182.6
210,144740,48246.6666666667,39599,48246.6666666667
211,9738,9738,9738,46032.8333333333
212,0,0,NA,43819
213,190544,63514.6666666667,138,63514.6666666667
214,341928,48846.8571428571,39909,48846.8571428571
215,339067,56511.1666666667,42438,56511.1666666667
216,156252,39063,43220,39063
217,790871,112981.571428571,48028,62195.1428571429
218,2529098,361299.714285714,48452,59934.0714285714
219,173019,57673,64043,57673
220,476597,68085.2857142857,57703,68085.2857142857
221,247064,35294.8571428571,41220,35294.8571428571
222,189564,63188,53372,63188
223,1415892,157321.333333333,47258,72979.1458333333
224,1827110,609036.666666667,193950,73180.6841635931
225,378465,75693,38898,72660.1045231819
226,1585055,264175.833333333,66037.5,71836.2353350889
227,1518334,253055.666666667,78422.5,71012.3661469959
228,1436940,205277.142857143,50576,63128.3799409412
229,94120,47060,47060,47060
230,387409,64568.1666666667,45169.5,64568.1666666667
231,177412,44353,45138.5,44353
232,221102,44220.4,41230,44220.4
233,1189338,297334.5,47828.5,35638.0333333333
234,162334,27055.6666666667,29454,36269.9791666667
235,350740,29228.3333333333,33650,36901.925
236,124112,41370.6666666667,44645,41370.6666666667
237,311301,51883.5,38781.5,43233.75
238,270581,45096.8333333333,47344.5,45096.8333333333
239,145391,36347.75,47471,36347.75
240,392181,65363.5,35863,34592.2083333333
