"rank_total","sum_total","sum_mean","sum_median","test_para","predict_vector"
1,457558,28597.375,13298.5,28597.375,28597.375
2,2163809,42427.6274509804,10375,42427.6274509804,42427.6274509804
3,998327,39933.08,6848,39933.08,39933.08
4,567967,24694.2173913043,6688,24694.2173913043,24694.2173913043
5,341485,21342.8125,5578.5,21342.8125,21342.8125
6,411560,29397.1428571429,6268,29397.1428571429,29397.1428571429
7,747205,37360.25,7310,37360.25,37360.25
8,198595,19859.5,5745.5,19859.5,19859.5
9,39616,4952,4001,4952,4952
10,468646,42604.1818181818,6227,42604.1818181818,33355.9489748144
11,774298,51619.8666666667,5264,51619.8666666667,33915.1544448427
12,5349238,334327.375,6340.5,81645.8122345222,34365.2143202578
13,5255299,375378.5,8519.5,85001.0684658159,34817.6604109526
14,2674777,445796.166666667,50455,88356.3246971096,35272.430327264
15,2697513,337189.125,3752,80260.7452216168,35729.4601387279
16,21027,4205.4,3354,4205.4,36188.6843804613
17,37050,3705,3659.5,3705,36650.0360604239
18,14781,2956.2,2791,13611.4,37113.4466675638
19,117589,23517.8,1525,23517.8,37578.8461808551
20,12003,3000.75,3107,3000.75,38046.1630792322
21,307046,102348.666666667,148687,5257.25,38515.3243524275
22,30055,7513.75,4957,7513.75,38986.2555127145
23,2598761,371251.571428571,3846,25824.7916666667,39458.8806075631
24,264815,44135.8333333333,33042.5,44135.8333333333,39933.1222332086
25,36044,12014.6666666667,1869,12014.6666666667,40528.0323520417
26,4164,2082,2082,26307.0833333333,41125.2777348507
27,324796,40599.5,2279,40599.5,41604.5470620789
28,197111,39422.2,3030,39422.2,42085.067054119
29,11742,5871,5871,5871,42566.7526090239
30,216393,72131,81228,29762.5,43049.5172842246
31,107308,53654,53654,40198.5833333333,43533.2733169986
32,151904,50634.6666666667,6320,43527.4583333333,44017.9316458561
33,281138,46856.3333333333,1637.5,43993.1041666667,44503.4019328393
34,367068,52438.2857142857,34565,44458.75,44989.5925867328
35,101480,50740,50740,42061.1666666667,45476.4107871797
36,2606744,521348.8,13938,35324.1666666667,45963.7625096991
37,119450,19908.3333333333,1455.5,19908.3333333333,46451.5525515986
38,110406,22081.2,1343,22081.2,46939.6845587771
39,0,0,NA,24846.475,47428.0610534091
40,220894,27611.75,3331.5,27611.75,48038.7245443803
41,200996,66998.6666666667,67825,15220.375,48649.4224220856
42,5658,2829,2829,2829,49137.8714413829
43,0,0,NA,2834.25,49626.1131779129
44,5679,2839.5,2839.5,2839.5,50114.0445070507
45,197280,49320,20740.5,49320,50601.5613815259
46,421506,210753,210753,52505.0964285714,51088.5588656565
47,435381,87076.2,62053,55690.1928571429,51574.9311705828
48,302276,43182.2857142857,34910,43182.2857142857,52060.5716906648
49,315799,63159.8,44998,35879.9389880952,52545.3730413388
50,580,580,580,35576.990327381,53029.2270989738
51,990,990,990,47344.7511160714,53512.0250436774
52,2665867,888622.333333333,69215,59112.5119047619,53993.6574066999
53,0,0,NA,50486.5892857143,54474.0141252523
54,2340771,390128.5,4652.5,51076.2390873016,54952.984609476
55,502328,83721.3333333333,15360,51665.8888888889,55549.6302826105
56,553240,61471.1111111111,1188,73686.2424045139,56143.6166637957
57,2979537,270867,952,74836.6211276584,56616.8593125388
58,386383,193191.5,193191.5,75101.8938971625,57088.2149335363
59,452203,75367.1666666667,38470,75367.1666666667,57557.5731232325
60,1458476,121539.666666667,114854.5,68719.8541666667,58024.8250312484
61,172929,86464.5,86464.5,62072.5416666667,58489.8645492141
62,172917,43229.25,16071.5,59064.2083333333,58952.5901425259
63,2675281,334410.125,49848,56055.875,59412.9076492957
64,137765,68882.5,68882.5,68882.5,59870.7345134494
65,367729,61288.1666666667,17020.5,61288.1666666667,60326.0061130705
66,2777389,396769.857142857,128261,57852.4791666667,60778.6851034884
67,136157,45385.6666666667,801,54416.7916666667,61228.7750304342
68,1681,840.5,840.5,55496.6666666667,61676.3398936487
69,393646,65607.6666666667,58208,65607.6666666667,62121.5318635263
70,162639,27106.5,901.5,63111.1770833333,62564.6299729768
71,1860,620,548,60614.6875,63116.3032709815
72,752983,94122.875,57152,65022.8482142857,63666.8706353168
73,926397,463198.5,463198.5,69431.0089285714,64108.1525129929
74,313174,44739.1428571429,38718,67453.3669642857,64552.0942604312
75,2414294,804764.666666667,157613,65475.725,65001.2528041171
76,2370856,474171.2,900,66814.3625,65459.1414840217
77,340765,68153,85306,68153,65930.506381432
78,374565,46820.625,24248,46820.625,66421.6560715667
79,734880,104982.857142857,91570,104982.857142857,66940.845055436
80,204449,68149.6666666667,91208,68149.6666666667,67498.706621142
81,4868792,811465.333333333,93717,138532.73397702,68108.7247862221
82,2598171,649542.75,169169,208915.801287373,68787.7272492329
83,5088781,726968.714285714,114546,208838.180699746,69556.3720840078
84,1087512,271878,108136.5,208617.024017334,70439.590638701
85,4945159,549462.111111111,87557,194033.5,71466.9384365233
86,697134,116189,89531,116189,72999.5253437545
87,1377398,275479.6,90843,64528.3333333333,74903.260575295
88,38603,12867.6666666667,660,12867.6666666667,76736.5283019855
89,3007488,429641.142857143,113408,34261.7083333333,78903.612272359
90,445246,55655.75,19656.5,55655.75,81455.6313497003
91,130457,43485.6666666667,523,43485.6666666667,84443.9419180377
92,451288,90257.6,128550,90257.6,87917.8394127472
93,2393234,398872.333333333,39890,75514.6333333333,91921.7922340192
94,182315,60771.6666666667,33166,60771.6666666667,96492.2807012473
95,2495522,831840.666666667,97972,119122.964285714,101654.362533111
96,3776974,539567.714285714,130714,177474.261904762,107418.135685306
97,328673,54778.8333333333,66354,54778.8333333333,113775.314383182
98,9039119,1004346.55555556,160971,49787.5166666667,120696.169393267
99,223981,44796.2,17746,44796.2,128127.103473945
100,143399,35849.75,40752,35849.75,135989.1326236
101,4419873,1104968.25,1110140,180521.75764974,146255.847668379
102,2594748,648687,140091.5,244320.456624349,156782.522841363
103,2468534,822844.666666667,170183,235469.542765299,165172.433979636
104,4584185,916837,75743,226618.62890625,173346.837960293
105,84346,42173,42173,198679.481119792,181118.476035084
106,512221,170740.333333333,194451,170740.333333333,188297.360589565
107,2267501,377916.833333333,47202,167547.738095238,194698.597744823
108,1150486,164355.142857143,91344,164355.142857143,200150.49585341
