"rank_total","sum_total","sum_mean","sum_median","test_para","predict_vector"
59,2972994,495499,187707.5,495499,367848.579985435
60,9239380,769948.333333333,766738.5,466680.75,384012.780521064
61,1367052,683526,683526,437862.5,400551.576383766
62,1144850,286212.5,53677,417802.671875,417448.721252007
63,5293611,661701.375,270885.5,397742.84375,434686.118779585
64,1332702,666351,666351,509273.1875,452243.82071772
65,2141070,356845,47802.5,446200.770833333,470100.035342141
66,6867230,981032.857142857,977902,383128.354166667,488231.14658882
67,1043806,347935.333333333,40310,409411.708333333,506611.744235532
68,59104,29552,29552,466433.25,525214.66539394
69,3509587,584931.166666667,492818,584931.166666667,544011.047499025
70,1671971,278661.833333333,43830.5,506310.822916667,562970.3928998
71,103834,34611.3333333333,33686,541514.973958333,586846.985287528
72,4613753,576719.125,543055.5,576719.125,610867.753676848
73,1765145,882572.5,882572.5,545259.160267857,630135.617898693
74,2299041,328434.428571429,266921,560140.387276786,649411.283746359
75,4343799,1447933,1230775,575021.614285714,668656.92731442
76,4108044,821608.8,46727,600280.807142857,687833.78458969
77,3127700,625540,360997,625540,706902.297135304
78,3585747,448218.375,125471.5,833623.428571429,725822.266519826
79,7291948,1041706.85714286,1143980,1041706.85714286,744553.016710656
80,2380149,793383,1077369,793383,763053.563565995
81,8573550,1428925,1050028.5,979067.356026786,781282.790480084
82,6246357,1561589.25,1452759.5,995019.072405134,799199.629163022
83,10624492,1517784.57142857,1320356,1010970.78878348,816763.244470329
84,3825597,956399.25,1024390,956399.25,833933.222139277
85,11530797,1281199.66666667,1068893,1010801.55625,850669.75823964
86,7102002,1183667,1138520,1065203.8625,870937.820545356
87,5301873,1060374.6,1092538,1060374.6,890361.311081884
88,193819,64606.3333333333,46870,1068917.15714286,905280.600520042
89,7542218,1077459.71428571,1006560,1077459.71428571,919599.94280885
90,4344462,543057.75,134287,849495.566517857,933286.234881432
91,1320649,440216.333333333,35468,621531.41875,946308.170229919
92,2454503,490900.6,324980,700005.0875,958636.40092426
93,5298186,883031,458023.5,883031,970243.69068683
94,1501633,500544.333333333,247409,912713.654761905,981105.057893322
95,5511697,1837232.33333333,1201914,942396.309523809,991197.907435533
96,9689738,1384248.28571429,1401811,820140.321428571,1000502.15045696
97,4187306,697884.333333333,924076,697884.333333333,1009000.31105691
98,15164313,1684923.66666667,1087031,682808.758300781,1016677.61915234
99,1385760,277152,48716,679111.798095703,1023522.0887882
100,1111854,277963.5,159141.5,690445.149047852,1029524.58129526
