3088752,1,1,1.0
3054795,288,418,0.688995215311
3059640,37,64,0.578125
3158713,78,155,0.503225806452
3059267,68,110,0.618181818182
3065641,248,391,0.634271099744
3073418,299,434,0.688940092166
3084499,39,54,0.722222222222
3088442,209,281,0.743772241993
3085621,266,350,0.76
3048273,199,331,0.601208459215
3080405,109,180,0.605555555556
3086919,45,82,0.548780487805
3139938,74,110,0.672727272727
3136063,66,92,0.717391304348
3055998,157,302,0.519867549669
3121709,104,185,0.562162162162
3110142,113,201,0.562189054726
3121613,39,73,0.534246575342
3026609,129,229,0.563318777293
3120452,168,245,0.685714285714
3183741,68,103,0.660194174757
3119481,75,121,0.619834710744
3024630,122,205,0.59512195122
3203640,8,16,0.5
3136323,53,91,0.582417582418
3090510,150,212,0.707547169811
3205044,4,9,0.444444444444
3142647,91,154,0.590909090909
3126929,5,10,0.5
3165514,13,25,0.52
3063786,65,100,0.65
3204789,5,12,0.416666666667
3073800,62,99,0.626262626263
3187065,29,46,0.630434782609
3038946,36,69,0.521739130435
3206307,0,0,
3194667,23,40,0.575
3011734,600,1186,0.505902192243
3017057,574,1059,0.542020774315
3092667,255,411,0.620437956204
3052368,356,621,0.573268921095
3090971,266,432,0.615740740741
3087100,244,463,0.526997840173
3086294,277,468,0.59188034188
3014783,470,806,0.583126550868
3109604,221,348,0.635057471264
3168209,92,146,0.630136986301
3009289,645,1146,0.562827225131
3169363,94,159,0.591194968553
3091129,287,428,0.670560747664
3024350,336,549,0.612021857923
3016368,667,1054,0.632827324478
3010821,657,1127,0.582963620231
3026654,490,755,0.649006622517
3013389,552,1174,0.470187393526
3012470,602,1194,0.50418760469
3093682,270,415,0.650602409639
3072493,292,549,0.531876138434
3117470,165,304,0.542763157895
3162496,27,51,0.529411764706
3040689,407,670,0.607462686567
3025632,423,696,0.60775862069
3121677,89,140,0.635714285714
3009966,560,1139,0.491659350307
3087748,209,393,0.531806615776
3062217,243,426,0.570422535211
3119824,192,321,0.598130841121
3090717,257,363,0.707988980716
3103324,88,150,0.586666666667
3013480,482,863,0.558516801854
3015676,515,950,0.542105263158
3015933,290,428,0.677570093458
3024027,271,445,0.608988764045
3122375,170,311,0.546623794212
3022612,374,644,0.580745341615
3023623,155,264,0.587121212121
3019494,346,555,0.623423423423
3045136,268,452,0.592920353982
3202696,8,16,0.5
3137475,155,258,0.600775193798
3019824,512,871,0.587830080367
3021777,425,729,0.582990397805
3098215,11,22,0.5
3130292,33,69,0.478260869565
3175295,63,103,0.611650485437
3072401,325,545,0.596330275229
3044206,179,288,0.621527777778
3175225,78,139,0.561151079137
3038915,313,466,0.671673819742
3061289,376,568,0.661971830986
3044892,282,431,0.654292343387
3044211,398,643,0.618973561431
3038211,367,561,0.654188948307
3052427,119,200,0.595
