"rank_total","sum_total","sum_mean","sum_median","test_para","predict_vector"
1,36782,36782,36782,16369.8333333333,16369.8333333333
2,0,0,NA,14348.6666666667,14348.6666666667
3,30919,10306.3333333333,10285,10306.3333333333,10306.3333333333
4,451974,50219.3333333333,11502,12746.6666666667,12746.6666666667
5,45561,15187,21008,15187,15187
6,69501,13900.2,15511,13900.2,13900.2
7,77301,25767,20984,14589.8125,14589.8125
8,84115,16823,5966,14893.53125,14893.53125
9,429813,53726.625,8312,14232.515625,14232.515625
10,81429,13571.5,13844.5,13571.5,5949.32680271737
11,57923,9653.83333333333,6946,9653.83333333333,6653.98778733991
12,142281,17785.125,15869.5,8444.20833333333,7286.80434185988
13,86815,7234.58333333333,3995.5,8615.60874368687,7989.12454461447
14,71494,7943.77777777778,7183,8787.0091540404,8767.66160431667
15,61848,6872,8219,9380.02525252525,9629.46096731042
16,118979,10816.2727272727,4328,10816.2727272727,10581.8599559188
17,72318,9039.75,9225.5,9039.75,11632.4363958008
18,97511,13930.1428571429,10385,13930.1428571429,12788.9455787265
19,101052,7773.23076923077,6895,13360.5214285714,14059.2450780588
20,255818,12790.9,8385.5,12790.9,15451.2071430277
21,111998,11199.8,7832.5,11199.8,16972.6186439455
22,295103,18443.9375,7804.5,12226.7834541063,18631.0688218973
23,354252,17712.6,8393,13253.7669082126,20433.8254097659
24,383500,16673.9130434783,8828,12051.3338164251,22387.7000318178
25,153677,8537.61111111111,6805.5,8537.61111111111,25046.8176440095
26,237402,9496.08,8448,9496.08,27972.4012970252
27,140181,6675.28571428571,6133,10630.3127272727,30498.7802466549
28,258820,11764.5454545455,8213,11764.5454545455,33197.2642607963
29,549807,24991.2272727273,8991.5,13912.5923295455,36069.4236129807
30,608976,22554.6666666667,9191,13147.8500828598,39115.3590425385
31,528694,22028.9166666667,7310.5,12383.1078361742,42333.5523410296
32,247898,10329.0833333333,5917,10329.0833333333,45720.7280597439
33,349730,12490.3571428571,6601,12490.3571428571,49271.7300868846
34,346713,14446.375,6807,14446.375,52979.4168684456
35,5297439,211897.56,8125,42874.5040178571,56834.5789777849
36,5260659,175355.3,4990,45289.4662946429,60825.8825687364
37,1335724,47704.4285714286,5422,47704.4285714286,64939.8419716732
38,5299911,189282.535714286,5224,54730.5599888393,69160.8243101221
39,2860335,136206.428571429,5585,61756.69140625,73471.0885295074
40,10258397,366371.321428571,4911.5,58878.9587053571,78952.8404289525
41,1445766,49854,5816,73308.2734703256,84502.9009469781
42,5005101,294417.705882353,3703,87737.5882352941,88957.7086235367
