"rank_total","sum_total","sum_mean","sum_median","test_para","predict_vector"
46,7568867,360422.238095238,304668,349333.293956044,385602.817787997
47,8421432,323901.230769231,322668,343656.012362637,375898.924249607
48,8787447,337978.730769231,308908,337978.730769231,366533.704231056
49,6727141,354060.052631579,262950,354060.052631579,357497.919349863
50,6666344,277764.333333333,273591.5,329325.067982456,348782.386845001
51,10965243,304590.083333333,252834,328401.938753133,340377.991131808
52,6877055,327478.80952381,285050,327478.80952381,332275.694680714
53,7137336,285493.44,252100,285493.44,324466.548226736
54,11846084,320164.432432432,258817,320164.432432432,316941.700318147
55,6075710,233681.153846154,218076.5,233681.153846154,307913.849910806
56,4591049,255058.277777778,232987,255058.277777778,299316.284141975
57,9592484,290681.333333333,263133,264376.876633987,292718.389415191
58,9741845,295207.424242424,217029,260543.247140523,286366.395841447
59,8728127,256709.617647059,225962,256709.617647059,280252.132128943
60,8245981,257686.90625,272202,257686.90625,274367.571548003
61,9385571,302760.35483871,249956,255207.563015488,268704.836915244
62,5220009,208800.36,186266,252728.219780975,263256.205034458
63,5296243,240738.318181818,198018.5,240738.318181818,258014.110611895
64,6463847,281036.826086957,246130,241626.674242424,252971.149664132
65,8002996,242515.03030303,208858,242515.03030303,248120.082437142
66,2915750,182234.375,169882,227986.257086999,243453.835855506
67,6617182,213457.483870968,189982,213457.483870968,238965.505520988
68,8543188.57,244091.102,178790,244091.102,234648.357279875
69,5192528,216355.333333333,229697.5,216355.333333333,230495.828378619
70,3251485,180638.055555556,155480,217713.4375,226501.528227353
71,5257717,219071.541666667,212807,219071.541666667,221717.191428226
72,3330109,151368.590909091,132923.5,213770.557414337,217167.647447736
73,6053954.98,172970.142285714,137298,208469.573162008,213679.312727676
74,5081121,220918.304347826,186874,220918.304347826,210322.582056239
75,6211666,214195.379310345,188579,214195.379310345,207092.009719416
76,3558648,187297.263157895,159279,210695.369655172,203982.318912827
77,5179884,207195.36,213201,207195.36,200988.400178662
78,5268466.4,188159.514285714,150023.5,216532.339090909,198105.3096112
79,4969125,225869.318181818,195210.5,225869.318181818,195328.266848365
80,5590412,180335.870967742,167260,226995.325757576,192652.652866343
81,4106184,228121.333333333,200840,221358.279545455,190074.007593811
82,6471637,215721.233333333,171910.5,215721.233333333,187588.027361863
83,4377176,156327.714285714,132924.5,219582.442391215,185190.562205187
84,7117353,245425.965517241,222332,217948.072932061,182877.613029553
85,5748210,159672.5,146303.5,216313.703472906,180645.328660101
86,5241640.36,187201.441428571,149809,191691.685069787,177960.509365277
87,5012090,167069.666666667,142371,167069.666666667,175393.551543687
88,5204697,192766.555555556,189191,192766.555555556,173415.328821188
89,4350679,189159.956521739,118425,189159.956521739,171502.187150057
90,4182694,174278.916666667,149459.5,174278.916666667,169651.032100856
91,6452454,161311.35,138253,169883.864346591,167858.895982224
92,2907199,132145.409090909,119352.5,165488.812026515,166122.934400872
93,4932843,164428.1,126333.5,164428.1,164440.422802891
94,4128933,152923.444444444,127811,164086.953914141,162808.753005458
95,3338837,145166.826086957,143866,163745.807828283,161225.429727521
96,3644022,165637.363636364,152909,161868.875477994,159688.067127484
97,3490685,166223.095238095,124078,159991.943127706,158194.385355371
98,2309239,121538.894736842,81861,154346.522619048,156742.207126446
99,2849399,142469.95,122094,142469.95,155329.454322722
100,2299647,153309.8,88670,153309.8,153954.144628346
101,4593557,153118.566666667,153540.5,153118.566666667,152283.750535753
102,2180929,145395.266666667,76960,145395.266666667,150667.500636363
103,2050468,102523.4,97030.5,144911.771568627,149408.936749696
104,2455280.7,144428.276470588,116644,144428.276470588,148179.993035674
105,2526619,132979.947368421,89876,144594.63120783,146979.155941497
106,2284654,114232.7,103086,144760.985945072,145804.987006965
107,2541633,101665.32,75994,149445.345631065,144656.119897618
108,4150051.77,159617.375769231,144202,159617.375769231,143531.257504518
109,3283828,142775.130434783,149163,142775.130434783,142429.169112693
110,2239282,131722.470588235,118474,145134.156126482,141348.687639976
111,3244850,147493.181818182,114267,143841.323737085,140288.706947609
112,2516177,132430.368421053,105798,142548.491347687,139248.179223754
113,2173287,98785.7727272727,74999,137603.800877193,138226.11244073
114,4283317,142777.233333333,130787,142777.233333333,137221.567886565
115,3224941,169733.736842105,129752,144512.883055556,136233.657771215
116,2810696,156149.777777778,141527.5,143773.221527778,135020.425601876
117,3575839,143033.56,136760,143033.56,133831.264537301
118,3548657.59,126737.771071429,125084,126737.771071429,132895.265265862
119,4200150.52,155561.13037037,130872,125202.552202381,131972.475107201
120,2968016,123667.333333333,107439,123667.333333333,131062.24688382
121,2574915,107288.125,122293,124620.507218196,130163.970590284
122,2416359.18,105059.094782609,84408,125573.68110306,129277.071550293
123,3693172,136784.148148148,116391,136784.148148148,128401.00864382
124,3435469,118464.448275862,135090,127863.552409166,127535.272603133
125,3677919,114934.96875,97879.5,118942.956670184,126679.384376402
126,2849701,109603.884615385,101206.5,119421.465064506,125832.89355753
127,3138808,116252.148148148,105217,121813.926766543,124995.376880756
128,2285771,126987.277777778,122066,126987.277777778,124166.436778544
129,2850419,123931.260869565,100088,123931.260869565,123345.700001172
130,3878189,138506.75,114309.5,128574.137608696,122532.816296447
131,1568395,92258.5294117647,70322,128250.708152174,121727.457147895
132,2942327.41,127927.278695652,111581,127927.278695652,120730.658010261
133,2461436,117211.238095238,93670,117211.238095238,119745.005477287
134,1356026,96859,74172,120545.261904762,118963.681388549
135,2601465,123879.285714286,113616,123879.285714286,118188.641475341
136,3026231.4,144106.257142857,133876,117698.403726708,117419.656666091
137,2564903,111517.52173913,113210,111517.52173913,116656.512731942
138,2072971,94225.9545454545,77946,117481.493012422,115899.009409522
139,3456473,123445.464285714,105043,115711.168759154,115146.959567777
140,2286931.63,103951.437727273,95475,113940.844505885,114400.1884172
141,2434013,90148.6296296296,78964,109430.928115361,113658.532759809
142,2898255,103509.107142857,100311.5,107771.339564986,112921.840278278
143,2274574,103389.727272727,99683.5,108242.867225675,112189.968862616
144,1976372,79054.88,71808,108714.394886364,111462.785972843
145,3649250,114039.0625,105233,110225.330503465,110740.168036153
146,2383046.63,125423.506842105,93573,109829.400122299,110021.99987705
147,2433905.89,97356.2356,95702,109433.469741133,109130.252586745
148,2401044.18,104393.225217391,75650,104393.225217391,108245.360962949
149,1580463,79023.15,74692.5,101600.45708238,107541.968974347
150,1877346.09,98807.6889473684,80808,106034.518014874,106842.59864724
151,2098903,110468.578947368,104092,103526.308730908,106147.172144663
152,1627586,90421.4444444444,79543.5,101018.099446942,105455.61703034
153,1526878,80362,83449,99498.4025636725,104767.865902642
154,1727267,82250.8095238095,80037,99294.933238358,104083.856050444
155,2279103.67,99091.4639130435,95458,99091.4639130435,103403.529129776
156,2898302,111473.153846154,99562.5,102490.794227584,102726.830860207
157,1823991,75999.625,76369,101398.94473284,102053.710739915
158,2106449,100307.095238095,104411,100307.095238095,101384.121778476
159,1917623,83374.9130434783,77346,98881.8937728938,100718.020246409
160,1266937,97456.6923076923,84918,97456.6923076923,100055.365440578
161,2423079,93195.3461538462,82917.5,96610.2568681319,99396.1194645655
162,2681387,95763.8214285714,79921,97441.7496570097,98576.697981537
163,1553213,77660.65,77364.5,98273.2424458874,97762.692414822
164,2361997.89,87481.4033333333,79430,100782.663463203,97115.1147649034
165,2418739.72,109942.714545455,84535,101989.105606061,96470.8049394652
166,1374599,80858.7647058823,74382,103195.547748918,95829.73714692
167,2025416,96448.3809523809,81868,96448.3809523809,95191.8872859751
168,1853292.16,92664.608,71477.5,99639.2077175698,94557.2328142895
169,2982071,102830.034482759,107048,102830.034482759,93925.7526261435
170,1449639,65892.6818181818,69005.5,99167.799850075,93297.4269385701
171,2196628,95505.5652173913,77890,97377.290480593,92672.2371854267
172,1720562.06,95586.7811111111,89253,95586.7811111111,92050.1659189121
173,2195713,87828.52,83865,92171.2496805556,91431.1967180601
174,1023555,85296.25,66612.5,90927.0830902778,90815.3141037681
175,1793658.33,89682.9165,75268,90598.3827546559,90202.5034599403
176,1225557,72091.5882352941,61956,90269.6824190341,89592.7509603503
177,1377374,81022,66684,90856.4483380682,88834.7462790962
178,1768892.02,70755.6808,70948,92426.6590909091,88081.6647045003
179,2284289,103831.318181818,72968.5,91197.1180985502,87482.5166991274
180,1478185,77799.2105263158,69516,89967.5771061912,86886.3726902963
181,1435521,95701.4,90792,83290.0842427508,86293.2221106451
182,2221765.15,76612.5913793103,75422,76612.5913793103,85703.0548228565
183,1586409,113314.928571429,79681,83226.7123563218,85115.8610788963
