"rank_total","sum_total","sum_mean","sum_median","test_para"
"72",72,3059288,127470.333333333,5323,113230.816878019
"73",73,1981225,53546.6216216216,2914,111715.355978261
"74",74,1260183,54790.5652173913,4629,106252.831974638
"75",75,735157,24505.2333333333,3499,100790.307971014
"76",76,2277084,113854.2,4078.5,98451.3200534986
"77",77,959374,36899,3996,96112.3321359828
"78",78,1506967,50232.2333333333,6954.5,90692.7682291667
"79",79,190952,8302.26086956522,3332,99342.3197916667
"80",80,4750477,148452.40625,10863,92895.1364583333
"81",81,386648,19332.4,5013.5,92701.7731226361
"82",82,733305,24443.5,3390.5,92508.4097869389
"83",83,4117542,147055.071428571,12113.5,90451.3651436942
"84",84,626423,21600.7931034483,3913,86323.5634920635
"85",85,921314,25592.0555555556,4529.5,60828.9781746032
"86",86,989363,35334.3928571429,3933.5,66177.7749007937
"87",87,1687794,56259.8,9500,71526.5716269841
"88",88,145096,5373.92592592593,4322,75850.8197623557
"89",89,2706185,112757.708333333,3891.5,75846.1006955718
"90",90,872215,36342.2916666667,5050.5,75841.3816287879
"91",91,1369075,33392.0731707317,4887,58674.599905303
"92",92,913172,41507.8181818182,9811,59788.6547913612
"93",93,1887984,60902.7096774194,4413,60343.2500595273
"94",94,1475289,49176.3,6516,60897.8453276933
"95",95,662594,25484.3846153846,6011.5,60892.9809779673
"96",96,745835,33901.5909090909,2090,58585.9498789358
"97",97,2483559,112889.045454545,10956.5,56278.9187799043
"98",98,671533,35343.8421052632,5412,48368.8093899521
"99",99,809174,40458.7,4852.5,50912.2484449761
"100",100,855291,53455.6875,25291.5,53455.6875
"101",101,1361452,42545.375,6753,44684.04375
"102",102,538686,35912.4,2629,35912.4
"103",103,513830,24468.0952380952,4087,33605.4689536341
"104",104,434747,24152.6111111111,7891,33586.2052641369
"105",105,528020,27790.5263157895,10349,33566.9415746397
"106",106,674935,33746.75,7667,33746.75
"107",107,1261688,48526.4615384615,38750,36517.2403846154
"108",108,465605,17907.8846153846,6269,39287.7307692308
"109",109,721176,30049,10045.5,40798.100678733
"110",110,719244,42308.4705882353,6965,42308.4705882353
"111",111,655716,29805.2727272727,4840.5,35457.0102941176
"112",112,572111,28605.55,3186,37643.8428694201
"113",113,1187990,53999.5454545455,12917,37561.1160146321
"114",114,528055,17034.0322580645,5445,37478.389159844
"115",115,1099017,57843,13733,37176.6375424889
"116",116,565814,31434.1111111111,3533,32394.3554775936
"117",117,577404,22207.8461538462,4608,27612.0734126984
"118",118,666121,23790.0357142857,4579,27714.7831051587
"119",119,744843,27586.7777777778,5911,27817.492797619
"120",120,700889,28035.56,3857,28035.56
"121",121,947968,39498.6666666667,5577,26175.9539130435
"122",122,559276,24316.347826087,5907,24316.347826087
"123",123,582112,21559.7037037037,3340,23643.1592071611
"124",124,780979,22969.9705882353,13164,22969.9705882353
"125",125,582667,17656.5757575758,3709,22835.6570112894
"126",126,506026,17449.1724137931,6686,22701.3434343434
"127",127,749145,27746.1111111111,4180,23413.275581906
"128",128,186712,10372.8888888889,2961.5,21958.7899648661
"129",129,471599,20504.3043478261,2645,20504.3043478261
"130",130,1275716,41152.1290322581,3460,20463.8874680307
"131",131,347199,20423.4705882353,2687,20423.4705882353
"132",132,437852,17514.08,6471,17514.08
"133",133,314287,14966.0476190476,4349,18501.6471428571
"134",134,272849,19489.2142857143,14789,19489.2142857143
"135",135,540325,25729.7619047619,5824,20320.0693581781
"136",136,294169,12789.9565217391,3107,18446.0781573499
"137",137,381158,16572.0869565217,5108,17539.7890786749
"138",138,365937,16633.5,4605.5,17693.8330450846
"139",139,452108,15070.2666666667,2656.5,17847.8770114943
"140",140,325471,14794.1363636364,2938.5,19062.2540229885
"141",141,668573,23054.2413793103,7788,19102.7397756767
"142",142,396162,12779.4193548387,3528,19143.2255283648
"143",143,251179,10920.8260869565,2067,18414.1127641824
"144",144,495180,17685,5340,17685
"145",145,436735,12478.1428571429,2809,17203.8759523384
"146",146,244890,12888.9473684211,2353,17232.0402095643
"147",147,341922,13676.88,6032,17260.2044667902
"148",148,325899,13579.125,3890,17333.9617391304
"149",149,482794,20991.0434782609,6918,19063.7220022883
"150",150,411602,21663.2631578947,4245,19371.4611198513
"151",151,171035,8551.75,876.5,19679.2002374142
"152",152,371043,19528.5789473684,7728,19528.5789473684
"153",153,374300,19700,5512,19230.7044736842
"154",154,200586,9117.54545454545,3806,18932.83
"155",155,327428,14236,2206,18165.66
"156",156,358693,13284.9259259259,3965,19363.32
"157",157,612266,24490.64,13064,19381.66
"158",158,426800,19400,6939.5,19400
"159",159,390310,16262.9166666667,9358.5,17858.3461538462
"160",160,212117,16316.6923076923,1780,18207.0769230769
"161",161,482451,18555.8076923077,4352.5,18555.8076923077
"162",162,524357,18081.275862069,3989,18081.275862069
"163",163,334622,16731.1,4879,17469.5640841093
"164",164,403325,14404.4642857143,9431,17227.0843482044
"165",165,328821,14946.4090909091,9110.5,17271.1304093963
"166",166,294358,17315.1764705882,9531,17315.1764705882
